COLEGIO_DEPA,ESPECIALIDAD,SEXO,INGRESO,egreso_postulacion,edad
LIMA,INGENIERÍA AMBIENTAL,MASCULINO,NO,2,18
LAMBAYEQUE,FÍSICA,MASCULINO,NO,1,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA QUÍMICA,FEMENINO,SI,2,18
AREQUIPA,INGENIERÍA MECÁNICA,FEMENINO,NO,2,19
LIMA,INGENIERÍA DE MINAS,MASCULINO,NO,2,20
JUNIN,INGENIERÍA FÍSICA,MASCULINO,SI,2,18
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,1,17
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,1,17
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,1,17
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,10,26
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,3,19
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
CALLAO,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,4,20
LIMA,INGENIERÍA DE TELECOMUNICACIONES,MASCULINO,NO,2,18
HUANCAVELICA,INGENIERÍA CIVIL,MASCULINO,NO,5,22
LIMA,INGENIERÍA DE CIBERSEGURIDAD,MASCULINO,NO,1,18
APURIMAC,INGENIERÍA CIVIL,MASCULINO,NO,3,20
LIMA,INGENIERÍA DE SISTEMAS,FEMENINO,NO,3,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,SI,3,20
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
LIMA,INGENIERÍA NAVAL,MASCULINO,NO,2,18
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,3,20
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,2,19
LIMA,INGENIERÍA INDUSTRIAL,MASCULINO,NO,2,19
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,2,18
LIMA,INGENIERÍA ELECTRÓNICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,2,19
LIMA,INGENIERÍA DE SISTEMAS,MASCULINO,NO,9,25
LIMA,INGENIERÍA CIVIL,FEMENINO,NO,6,23
ANCASH,INGENIERÍA MECATRÓNICA,MASCULINO,NO,4,20
LIMA,INGENIERÍA ELECTRÓNICA,FEMENINO,NO,1,18
LIMA,INGENIERÍA ECONÓMICA,MASCULINO,NO,2,18
LIMA,INGENIERÍA CIVIL,MASCULINO,NO,1,18
LIMA,INGENIERÍA MECATRÓNICA,MASCULINO,NO,2,19
